
-5996.91,6674.1
-6018.95,6773.06
-6036.14,6840.74
-6047.31,6892.55
-6060.48,6937.59
-6048.26,6963.79
-6016.58,6978.09
-5979.31,6991.49
-5910,6988.9
-5828.75,6978.28
-5738.62,6959.3
-5636.96,6929.1
-5526.25,6886.13
-5399.68,6816.99
-5293.55,6753.4
-5187.18,6674.09
-5083.69,6575.5
-4996.52,6485.39
-4918.72,6392.31
-4845.47,6271.64
-4788.77,6181.18
-4741.96,6089.04
-4699.39,5999.37
-4667,5902
-4634.48,5830.04
-4615.85,5733.53
-4590.37,5675.29
-4577.08,5601.63
-4554.03,5551.44
-4541.16,5495.34
-4529.4,5443.58
-4507.71,5406.45
-4495.58,5362.43
-4486.42,5319.45
-4462.36,5293.03
-4449.21,5261.43
-4418.01,5248.62
-4406.91,5217.04
-4375.13,5205.48
-4358.11,5186.47
-4343.2,5164.66
-4310.64,5156
-4291.47,5143.58
-4257.39,5137.18
-4238.52,5127.68
-4219.55,5117.66
-4182.05,5119.52
-4164.35,5108.47
-4123.69,5114.3
-4106.15,5106.35
-4065.73,5114.03
-4025.81,5118.79
-4006.59,5114.62
-3984.2,5114.88
-3941.64,5126.18
-3899.07,5137.4
-3884.38,5130.74
-3840.15,5144.73
-3795.57,5157.75
-3754.16,5168
-3730.72,5171.95
-3685.74,5186.26
-3643.58,5197.23
-3599.1,5211.55
-3556.45,5223.01
-3513.85,5236.23
-3465.31,5254.08
-3422.49,5266.34
-3373.6,5285.09
-3353.98,5284.76
-3310.6,5297.44
-3258.54,5319.94
-3215.12,5332.61
-3164.33,5352.7
-3118.58,5367.7
-3070.56,5384.98
-3032.28,5393.48
-2977.39,5417.68
-2933.39,5430.93
-2881.72,5451.97
-2830.14,5474.02
-2793.24,5480.07
-2741.78,5501.05
-2694.98,5517.3
-2645.12,5537.86
-2592.22,5560.71
-2549.71,5572.59
-2499.72,5592.54
-2451.69,5610.49
-2398.42,5635.43
-2328.42,5670.74
-2297.35,5677.7
-2256.67,5687.7
-2200.67,5716.75
-2158.85,5728.1
-2098.89,5761.44
-2055.57,5774.02
-2010.66,5789.32
-1947,5820.98
-1892.41,5850.98
-1846.17,5867.96
-1801.83,5883.13
-1749.05,5909.6
-1702.08,5928.09
-1655.34,5946.43
-1602.42,5974.98
-1565.52,5978.66
-1515.05,6003.18
-1470.07,6019.4
-1422.84,6040.02
-1376.04,6059.47
-1324.79,6086.67
-1280.94,6101.61
-1231.67,6126.15
-1188.68,6139.8
-1139.97,6164.6
-1093.19,6185.55
-1043.03,6205.39
-993.052,6233.44
-949.317,6249.3
-899.401,6278.3
-854.877,6296.28
-810.569,6313.95
-764.038,6336.85
-721.568,6351.27
-675.354,6374
-626.792,6403.02
-590.107,6402.88
-538.246,6440.99
-495.163,6457.15
-452.585,6472.06
-404.866,6501.47
-362.204,6516.52
-316.91,6540.07
-271.606,6561.09
-229.953,6574.05
-186.71,6592.16
-140.785,6619.54
-98.8783,6633.73
-56.0041,6651.42
-12.8615,6670.33
30.5536,6690.2
77.0521,6723.37
118.022,6734.67
160.345,6751.43
205.185,6775.54
243.807,6776.21
288.388,6804.22
331.617,6826.87
373.362,6842.37
416.107,6863.62
457.928,6874.59
500.638,6896.46
541.486,6907.79
588.605,6936.71
632.131,6967.41
671.438,6968.03
715.653,6998.09
